Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
1,0.0,-16.186036843,-4.9065,0.0,0.9659258263,0.2588190451,"0,0000000000",0.0,-1.0,75.0,-0.0,Inputbeam,,75.0
2,0.0,-5.1980046792,-1.9622656554,0.0,0.9032910711,0.4290282518,"0,0000000000",-0.6424420832,-0.7663342416,35.025838537,11.375647968,CorneaFront,,75.0
3,0.0,-4.3963140957,-1.5814936978,0.0,0.9081543393,0.418635517,"0,0000000000",-0.6811498098,-0.7321440682,21.660534938,0.88752187315,CorneaBack/Aqueous,,75.0
4,0.0,-0.96554841558,0.0,0.0,0.9081543393,0.418635517,"0,0000000000",0.0,-1.0,65.251528093,3.7777341712,PupilVignetted,,75.0
5,0.0,-0.88297083634,0.038066115067,0.0,0.8644172455,0.5027751244,"0,0000000000",-0.0855675807,-0.9963323688,60.34286433,0.090929014674,LensFront,,75.0
6,0.0,3.1892502462,2.4066114815,0.0,0.8884226439,0.4590263671,"-0,0000000000",-0.3755661462,-0.9267955923,37.75692033,4.7109438224,LensBack/Vitreous,,75.0
7,0.0,11.791376905,6.8511210591,0.0,0.8884226439,0.4590263671,"0,0000000000",-0.9904406429,0.137939599,35.252935797,9.6824711948,Retina,,75.0
OBJ,inf,inf,inf,0.0,0.9961946981,0.0871557427,-----,,,,,,,85.0
1,0.0,-49.572542611,-4.9065,0.0,0.9961946981,0.0871557427,"0,0000000000",0.0,-1.0,85.0,-0.0,Inputbeam,,85.0
2,0.0,-6.0920242267,-1.1024475572,0.0,0.9603088603,0.2789388694,"0,0000000000",-0.7399100035,-0.6727058694,37.276250186,43.646606901,CorneaFront,,85.0
3,0.0,-5.1051453989,-0.8157909659,0.0,0.9635579333,0.2674997368,"0,0000000000",-0.7818993323,-0.6234047114,22.368309736,1.0276681478,CorneaBack/Aqueous,,85.0
4,0.0,-2.166593509,0.0,0.0,0.9635579333,0.2674997368,"0,0000000000",0.0,-1.0,74.484459365,3.0496888546,PupilVignetted,,85.0
5,0.0,-1.6769786827,0.13592523362,0.0,0.9269649815,0.3751478684,"0,0000000000",-0.1578638869,-0.9874608819,65.401529101,0.50813221443,LensFront,,85.0
6,0.0,3.5564617207,2.2539275863,0.0,0.9494117479,0.3140339678,"-0,0000000000",-0.3917201552,-0.9200844092,44.904972802,5.6457800543,LensBack/Vitreous,,85.0
7,0.0,11.325505111,4.8236698789,0.0,0.9494117479,0.3140339678,"0,0000000000",-0.9513087957,0.3082394772,36.255670366,8.1830074329,Retina,,85.0
